name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Burger au poisson, provenant de fast food;;263;12,2;26,7;11,5;3,9;1,5;55;0,49;22;0,59;0,81;2,83;9,23;-;0,5;0,049;0,01;0,63;0,33;0,066;23,3;0,83;21,8;4,92;2,87;1,1;210;440;020;;;;;
Sandwich grec ou Kebab, pita, crudités;;233;15,2;17,4;10,9;1,1;2,3;33,6;0,95;21,5;1,8;-;-;-;-;-;-;-;-;-;-;-;-;15,9;3,57;3,9;1,23;316;492;-;;;;;
Sandwich grec ou Kebab, baguette, crudités;;246;15;23,6;9,8;2,6;2;22,1;2,1;22,4;2,05;0;0,2;-;-;2;0,09;0,11;2,3;0,4;0,13;15;0,88;21;4,26;3,31;1,13;263;469;10;;;;;
Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;;274;10,3;32;11,3;1,4;1,78;26,8;0,83;19,5;0,53;0,73;4,05;-;-;2,63;0,051;0,055;2,73;0,28;0,13;19;0,63;30,5;2,54;2,62;1,28;160;514;11,3;;;;;
Sandwich panini, jambon cru, mozzarella, tomates;;243;14,2;27,2;8,35;-;1,4;97;1,1;16,9;1,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,24;184;493;-;;;;;
Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;;222;10,1;30,9;5,98;2,55;1,88;24,6;0,97;19,2;0,84;0,2;0,43;-;-;5,77;0,2;0,11;1,49;0,39;0,13;22,8;0,16;28,4;3,01;1,7;1,45;186;569;8,61;;;;;
Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise;;247;10;36,3;6,35;3;2,23;27,4;1,04;20,2;0,71;0,069;2,56;-;-;3,61;0,07;0,066;1,85;0,41;0,15;20,4;0,08;32,1;0,92;2,99;1,39;167;557;9,39;;;;;
Sandwich baguette, jambon emmental, préemballé;;285;13,3;26,9;13,1;2,55;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,3;3,58;1,58;-;635;-;;;;;
Sandwich baguette, saumon fumé, beurre;;265;11,5;40,8;5,6;2,65;2,4;26,5;0,91;21,8;0,6;2,28;0,7;-;-;2,84;0,1;0,062;2,39;0,38;0,23;21,3;0,9;38,2;2,49;1,21;1,89;178;742;11,2;;;;;
Sandwich baguette, thon, maïs, crudités, préemballé;;198;8,87;25;6,03;2,83;3,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,02;3,25;1,02;-;410;-;;;;;
