name;description;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;price;
Nectar multifruit - base pomme, standard;;;-;0,28;10;0,1;10;traces;-;-;4,7;-;-;-;-;-;-;-;-;0,27;-;-;35;-;-;-;-;-;78,5;-;-;;;;;
Nectar multifruit - base pomme, multivitaminé;;;-;0,1;9,1;0,1;9,1;traces;-;-;4,4;-;-;-;-;-;15,1;-;-;0,28;-;-;17;-;-;-;-;-;43,2;-;-;;;;;
Nectar d'abricot;;;-;0,21;13,7;0,03;11;0,08;11,5;0,38;5,28;0,05;0;0,31;1,2;-;17,6;0,009;0,014;0,26;0,096;0,022;1;0;-;0,005;0,013;0,0042;114;1,68;0 2,2;;;;;
Nectar de papaye;;;-;0,17;13,9;0,15;13,9;0,6;10;0,34;3;0,15;0;0,24;0,8;-;3;0,006;0,004;0,15;0,054;0,009;2;0;-;0,047;0,041;0,013;31;5;-;;;;;
Nectar de poire;;;-;0,19;14,8;0,043;11,4;0,45;5;0,26;3;0,07;0;0,05;1,8;-;1,1;0,002;0,013;0,13;0,022;0,014;1;0;0;0,001;0,003;0,0033;13;1,3;-;;;;;
Nectar multifruit, multivitaminé;;;-;0,24;11,3;0,1;10,9;0,15;3,1;0,2;5,4;0,1;0,5;1,05;-;-;16;0,14;0,2;1,63;0,62;0,22;22,9;0;0;0,0067;traces;0,016;79,1;6,36;0,3;;;;;
Nectar multifruit, standard;;;49,7;0,3;11,5;0,089;11;0,3;9,17;traces;5,35;traces;0;0,97;-;-;20,6;0,095;0,025;1,09;0,6;0,14;22,1;0;0;0,013;0;0,009;87,4;3,43;0,3;;;;;
Nectar multifruit - base orange, multivitaminé;;;-;0,4;11,1;0,1;10,3;0,5;-;-;6,3;-;-;-;-;-;36,2;-;-;1,64;-;-;23;-;-;-;-;-;85,7;-;-;;;;;
Nectar multifruit - base orange, standard;;;-;0,3;12,2;0,12;10,8;0,5;-;-;6,7;-;-;-;-;-;13,2;-;-;0,21;-;-;13,8;-;-;0,1;-;0,025;86,8;10;-;;;;;
Nectar, avec édulcorants, allégé en sucres;;;-;0,18;5,47;0,037;5,25;0,11;-;-;-;-;-;1,5;-;-;10,8;0,21;0,24;2,7;0,9;0,3;30;-;-;0,0067;-;0,0087;-;3,48;-;;;;;
Nectar de pomme;;;-;0,14;10,9;0,075;10,6;0,1;4,9;-;3,94;-;-;-;-;-;-;-;-;0,08;-;-;12,2;-;-;0,05;-;0,01;64,9;4;-;;;;;
Nectar de fruit de la passion ou maracuja;;;-;0,3;15,2;0,1;13;traces;1,7;-;3,8;0,02;-;traces;-;-;17,4;-;-;-;0,05;0,02;3;-;-;0;traces;0,025;72,8;3;0,1;;;;;
Nectar de banane;;;-;0,23;13,6;0,048;12,6;0,51;5,8;0,07;8;0,05;-;-;0,8;-;11,6;0,013;0,01;1,24;0,053;0,059;14,8;-;0,35;0,03;-;0,0046;91;1,82;0 20;;;;;
Nectar de goyave;;;-;0,14;11,3;0,16;9,97;0,14;7,8;0,07;2,6;0,05;0;-;0,8;-;36;0,011;0,01;1,39;0,034;0,011;10,3;0;-;0,005;traces;0,0051;61;2,02;0 20;;;;;
Nectar de mangue;;;-;0,2;12,3;0,083;11,6;0,15;8,1;0,08;3,7;0,05;-;-;0,8;-;18;0,024;0,011;2,1;0,17;0,039;17,1;-;-;0,058;-;0,011;39;4,59;0 20;;;;;
Nectar de pêche;;;-;0,22;12,1;0,05;11,9;0,33;5;0,19;4;0,08;0;0,29;1;-;5,3;0,003;0,014;0,29;0,068;0,007;1;0;-;0,002;0,008;0,011;40;4,37;-;;;;;
